國家名稱,經度 (Longitude),緯度 (Latitude),氣候類型 (Climate Group),年均日照時長 (Hours),年均盛行風向 (Degrees)
巴基斯坦 (Pakistan),69.3451,30.3753,BWh / BSk,"2,700 - 3,200",315 (西北風)
秘魯 (Peru),-75.0152,-9.19,Af / BWk,"1,200 - 2,900",135 (東南風)
菲律賓 (Philippines),121.774,12.8797,Am / Af,"1,800 - 2,400",45 (東北風)
波蘭 (Poland),19.1451,51.9194,Dfb (溫帶大陸),"1,500 - 1,850",270 (西風)
葡萄牙 (Portugal),-8.2245,39.3999,Csa / Csb,"2,400 - 3,000",315 (西北風)
卡達 (Qatar),51.1839,25.3548,BWh (熱沙漠),"3,300 - 3,500",315 (西北風)
俄羅斯 (Russia),105.3188,61.524,Dfc / Dfb,"1,100 - 2,200",270 (西風)
沙烏地阿拉伯 (Saudi Arabia),45.0792,23.8859,BWh (熱沙漠),"3,200 - 3,600",315 (西北風)
南非 (South Africa),22.9375,-30.5595,BSk / Cfb,"2,500 - 3,300",270 (西風)
西班牙 (Spain),-3.7492,40.4637,Csa / Csb,"2,400 - 3,100",270 (西風)
蘇丹 (Sudan),30.2176,12.8628,BWh (熱沙漠),"3,300 - 3,750",45 (東北風)
瑞典 (Sweden),18.6435,60.1282,Dfb / Dfc,"1,500 - 1,900",225 (西南風)
瑞士 (Switzerland),8.2275,46.8182,Cfb / Dfb,"1,600 - 2,100",270 (西風)
台灣 (Taiwan),120.9605,23.6978,Cfa / Am,"1,800 - 2,300",45 (東北風)
泰國 (Thailand),100.9925,15.87,Aw / Am,"2,100 - 2,600",225 (西南風)
土耳其 (Turkey),35.2433,38.9637,Csa / BSk,"2,200 - 2,900",270 (西風)
烏克蘭 (Ukraine),31.1656,48.3794,Dfb (溫帶大陸),"1,800 - 2,300",270 (西風)
阿聯酋 (UAE),53.8478,23.4241,BWh (熱沙漠),"3,300 - 3,600",315 (西北風)
英國 (United Kingdom),-3.436,55.3781,Cfb (溫帶海洋),"1,200 - 1,650",225 (西南風)
美國 (United States),-95.7129,37.0902,Cfa / BSk,"2,000 - 4,000",270 (西風)
越南 (Vietnam),108.2772,14.0583,Am / Aw,"1,800 - 2,600",45 (東北風)
尚比亞 (Zambia),27.8493,-13.1339,Cwa (亞熱帶高原),"2,600 - 3,000",110 (東偏南)
